Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2001	bks		2	а	"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Новая Деревня-2	-	Спрямлённое шоссе - Вокзальная ул. - Советская ул. - Ленинградское шоссе		Ikarus-263		27.06.2016	2	-	-
2002	bks		2		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Новая Деревня-2	-	Спрямлённое шоссе - ул.Металлургов - Советская ул. - Ленинградское шоссе		Ikarus-263		27.06.2016	2	-	-
2003	bks		2		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, Нагорная ул.	"ОАО ""Русал-Бокситогорск"""	-	Заводская ул. - ул.Воронина - ул.Павлова - ул.Красных Следопытов - Социалистическая ул. - Южное шоссе.		-		27.06.2016	2	-	-
2006	bks		4		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	ст. Пикалёво-1	-	Спрямлённое шоссе - ул.Металлургов - Советская ул. - Ленинградское шоссе - ст.Пикалёво-1		ПАЗ-3204-02		27.06.2016	2	-	-
2007	bks		5	/7	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Бор	-	ул.Воронина - Дымское шоссе - (заезд: Ларьян) - Бор		-		27.06.2016	2	-	-
2008	bks		5		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Бор	-	ул.Воронина - Дымское шоссе - Бор		-		27.06.2016	2	-	-
2013	bks		7	/5	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Ларьян	-	ул.Воронина - Дымское шоссе - (заезд: Бор) - Ларьян		-		27.06.2016	2	-	-
2015	bks		7		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, автостанция	Ларьян	-	ул.Воронина - Дымское шоссе - Ларьян		ПАЗ-32053		27.06.2016	2	-	-
2016	bks		8		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	"Садоводство ""Металлург-2"""	-	Спрямлённое шоссе - Советская ул. - Поселковая ул.		-		27.06.2016	2	-	-
2017	bks		11		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Огородничество	-	Спрямлённое шоссе - Советская ул. - Поселковая ул.		-		27.06.2016	2	-	-
2018	bks		13		"ООО ""Пассажиравтотранс"""	расп	Пикалёво, МЖК	Огородничество	-	ул.Горняков - Спрямлённое шоссе - Советская ул. - Поселковая ул		ПАЗ-3204-12		27.06.2016	2	-	-
2020	bks		101		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Михеево	-	Пикалёво - Новли - Самойлово - Михеево		ПАЗ-3204-12		27.06.2016	2	-	-
2021	bks		102		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	ст. Чудцы	-	Пикалёво - Новли - Самойлово - Михеево - Чудцы		-		27.06.2016	2	-	-
2023	bks		106		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Струги	-	Пикалёво - Фалилеево - Пронино - Анисимово - Б.Двор - Ёлзово - Фомкино - Бочатино - Калинецкое - Струги		-		27.06.2016	2	-	-
2027	bks		110		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Забелино	-	Пикалёво - Новли - Самойлово - Михеево - Чудцы - Косые Харчевни - Заголодно - Красная Речка - Спирово - Журавлёво - Заполье - Бережок - Шульгино - Озерёво - Городок - Климово - Логиново - Курята - Бирючово - Коргорка - Забелино		-		27.06.2016	2	-	-
2028	bks		112		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Яковлево	-	Пикалёво - Новли - Самойлово - Захожи - Верховье - Пакшеево - Сычово - Окулово - Подборовье - Дерева - Яковлево		-		27.06.2016	2	-	-
2031	bks		115		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Тихвин	-	Пикалёво - Новая Деревня - Синёнка - Пав.Концы - Мих.Концы - Б.Двор - Горелуха - Галично - Астрачи - Тихвин		-		27.06.2016	2	-	-
2032	bks		116		"ООО ""Пассажиравтотранс"""	расп	Пикалёво	Тихвин	-	Пикалёво - Новая Деревня - Дыми - Астрачи - Тихвин		ЛиАЗ-5256		27.06.2016	2	-	-
2036	bks		141		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Тихвин	-	Бокситогорск - Ларьян - Дыми - Галично - Астрачи - Тихвин		-		27.06.2016	2	-	-
2037	bks		190		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Мозолёво	-	Бокситогорск - Бор - Носово - Колбеки - Золотово - Пареево - Мозолёво - Пустая Глина - Савино		-		27.06.2016	2	-	-
2038	bks		191	а	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	ст. Большой Двор	-	Бокситогорск - Ларьян - Дыми - Галично - Турково - Горелуха - Б.Двор - Мих.Концы - Пав.Концы - ст.Б.Двор		-		27.06.2016	2	-	-
2039	bks		193		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Савино	-	Бокситогорск - Бор - Носово - Колбеки - Золотово - Пареево - Мозолёво		-		27.06.2016	2	-	-
2040	bks		194	а	"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	ст. Ефимовская	-	Бокситогорск - Сёгла - Нижница - Сенно - Симоново - Батьково - Новая Деревня - Пикалёво - Совхозный - Чудцы - Заголодно - Ефимовский		ПАЗ-3204-12		27.06.2016	2	-	-
2041	bks		194		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Пикалёво	-	Бокситогорск - Сёгла - Нижница - Сенно - Симоново - Батьково - Новая Деревня - Пикалёво		ПАЗ-32053		27.06.2016	2	-	-
2043	bks		199		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск	Великий Двор	-	Бокситогорск - Ларьян - Дыми - Галично - Турково - Горелуха - Б.Двор - В.Двор - Масляная Гора - Яковлево		-		27.06.2016	2	-	-
2045	bks		1		"ООО ""Пассажиравтотранс"""	расп	Бокситогорск, Нагорная ул.	"Садоводство ""Металлург"""	-	ул.Воронина - Заводская ул. - Социалистическая ул. - (заезд: Южное шоссе - Нагорная ул.) - ул.Красных Следопытов - ул.Павлова - Октябрьская ул.		-		27.06.2016	2	-	-
2046	bks		6	б	"ООО ""Пассажиравтотранс"""	расп	Пикалёво, автостанция	Сады-2	-	Спрямлённое шоссе - Советская ул. - Поселковая ул.		ПАЗ-32054		27.06.2016	2	-	-
73	gtc	К-	18	 	"ХК ""Питеравто"""	инт	станция метро Московская	Гатчина, площадь Станислава Богданова	ежедневно	Демонстрационный проезд - улица Типанова - улица Ленсовета - улица Орджоникидзе - (обратно: Московский проспект - Московская площадь) - площадь Победы - Пулковское шоссе - Киевское шоссе /г. Пушкин/ - Дони - Зайцево - Вайя - Гатчина	80	ГолАЗ-ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт""<BR>Гатчина - Малое Верево - 30р.<BR>Цветочный Питомник - СПб - 30р."	27.06.2016	2	-	-
74	gtc	К-	18	а	"ХК ""Питеравто"""	инт	станция метро Московская	Гатчина, Мариенбург	ежедневно	Демонстрационный проезд - улица Типанова - улица Ленсовета - улица Орджоникидзе - (обратно: Московский проспект - Московская площадь) - площадь Победы - Пулковское шоссе - Киевское шоссе /г. Пушкин/ - Дони - Зайцево - Вайя - Гатчина	80	ГолАЗ-ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт""<BR>Гатчина - Малое Верево - 30р.<BR>Цветочный Питомник - СПб - 30р."	27.06.2016	2	-	-
317	gtc	К-	100	 	"ХК ""Питеравто"""	инт	станция метро Московская	Гатчина, Варшавский вокзал	ежедневно	Демонстрационный проезд - улица Типанова - улица Ленсовета - улица Орджоникидзе - (обратно: Московский проспект - Московская площадь) - площадь Победы - Пулковское шоссе - Киевское шоссе /г. Пушкин/ - Дони - Зайцево - Верево - Вайя - Гатчина	80	ГолАЗ-ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт""<BR>Гатчина - Малое Верево - 30р.<BR>Цветочный Питомник - СПб - 30р.<BR>также 1 рейс по будним дням от Нового Света в 7:00"	27.06.2016	2	-	-
700	gtc	К-	363	 	"ОАО ""АТП-31"""	инт	станция метро Купчино	Коммунар	ежедневно	Витебский проспект - Дунайский проспект - проспект Космонавтов - Звёздная улица - улица Ленсовета - Московское шоссе - (обратно: Витебский проспект - Дунайский проспект - улица Ленсовета - Звёздная улица - Витебский проспект) - Московское шоссе /пос. Шушары/ - Колпинское шоссе /пос. Шушары/ - Колпинское шоссе /Новая Деревня/ - Новодеревенская улица /г. Пушкин/ - Удаловская улица /г. Пушкин/ - Удаловская улица /пос. Тярлево/ - Московское шоссе /пос. Тярлево/ - Фильтровское шоссе /пос. Тярлево/ - Фильтровское шоссе /г. Павловск/ - Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Антропшино - Коммунар	45	ПАЗ-3204-02	<BR>СПб - Ленсоветовский - 30р.<BR>СПб - Пушкин - 40р.<BR>Ленсоветовский - Славянка - 30р.<BR>Ленсоветовский - Коммунар - 35р.<BR>Славянка - Пушкин - 20р.<BR>Павловск - Коммунар - 25р.<BR>Антропшино - Коммунар - 20р.	27.06.2016	2	-	-
790	gtc	 	431	 	"ХК ""Питеравто"""	расп	"АС ""Улица Костюшко"""	Гатчина, Варшавский вокзал	ежедневно	1-й Предпортовый проезд - (обратно: улица Костюшко) - улица Костюшко - Варшавская улица - Ленинский проспект - Московский проспект - (обратно: Московская площадь - Демонстрационный проезд - Московская площадь - Московский проспект) - площадь Победы - Пулковское шоссе - Киевское шоссе /г. Пушкин/ - Дони - Зайцево - Малое Верево - Вайя - Гатчина	60	ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт""<BR>по СПб - 21р.<BR>СПб - Новокондакопшино - 30р.<BR>СПб - Зайцево - 36р.<BR>СПб - Вайя - 42р.<BR>Рехколовское шоссе - Гатчина - 42р.<BR>Красносельское шоссе - Гатчина - 36р.<BR>дорога на Лесное - Гатчина - 30р.<BR>дорога на станцию Верево - Гатчина - 24р.<BR>по Гатчине - 18р.<BR><BR>несколько первых утренних рейсов - только от Дони до Гатчины<BR>последний рейс только от Гатчины до м.Московская"	27.06.2016	2	-	-
843	gtc	 	478	 	"ОАО ""АТП-31"""	расп	Павловск, вокзал	Лукаши	ежедневно	Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Антропшино - Коммунар - Пудомяги - Лукаши	32	ПАЗ-3204-02	<BR>Павловск - Коммунар - 20р.<BR>Коммунар - Лукаши - 12р.<BR>по Коммунару - 15р.	27.06.2016	2	-	-
876	gtc	 	528	 	"ОАО ""АТП-31"""	расп	Павловск, вокзал	Коммунар	ежедневно	Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Антропшино - Коммунар	22	ПАЗ-3204-02	по Коммунару - 18р.	27.06.2016	2	-	-
877	gtc	 	529	 	"ОАО ""АТП-31"""	расп	Павловск, вокзал	Гатчина, Варшавский вокзал	ежедневно	Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Павловское шоссе /Динамо/ - Покровская - Коммунар - Пудомяги - Лукаши - Горки - Романовка - Старое Мозино - Ивановка - Гатчина	74	ПАЗ-3204-02	<BR>от Павловска:<BR>Покровская - 20р.<BR>Коммунар - 22р.<BR>Лукаши - 25р.<BR>Романовка - 42р.<BR>Ивановка - 50р.<BR><BR>от Динамо:<BR>Покровская - 15р.<BR>Коммунар - 18р.<BR>Антелево - 22р.<BR>Лукаши - 25р.<BR>Романовка - 33р.<BR>Ивановка - 41р.<BR>Гатчина - 66р.<BR><BR>от Покровской:<BR>Антелево - 18р.<BR>Лукаши - 20р.<BR>Романовка - 27р.<BR>Ивановка - 35р.<BR>Гатчина - 60р.<BR><BR>от Коммунара:<BR>Лукаши - 18р.<BR>Романовка - 20р.<BR>Ивановка - 30р.<BR>Гатчина - 53р.<BR><BR>от Антелево:<BR>Лукаши - 15р.<BR>Романовка - 18р.<BR>Ивановка - 25р.<BR>Гатчина - 46р.<BR><BR>от Пудомяг:<BR>Лукаши - 15р.<BR>Романовка - 1р.<BR>Ивановка - 20р.<BR>Гатчина - 40р.<BR><BR>от Веккелево:<BR>Ивановка - 15р.<BR>Гатчина - 33р.<BR><BR>Ивановка - Гатчина - 25р.<BR>по Гатчине - 20р.<BR>по Коммунару - 18р.	27.06.2016	2	-	-
892	gtc	К-	545	 	"ОАО ""АТП-31"""	инт	станция метро Московская	Лукаши	ежедневно	Демонстрационный проезд - Московская площадь - Московский проспект - площадь Победы - Пулковское шоссе - Петербургское шоссе /пос. Шушары/ - Петербургское шоссе /г. Пушкин/ - улица Генерала Хазова /г. Пушкин/ - Школьная улица /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Привокзальная площадь /г. Пушкин/ - Ленинградская улица /г. Пушкин/ - Оранжерейная улица /г. Пушкин/ - Садовая улица /г. Пушкин/ - (обратно: Конюшенная улица /г. Пушкин/ - Средняя улица /г. Пушкин/) - Павловское шоссе /г. Пушкин/ - Главная улица /Павловск-2/ - Парковая улица /Павловск-2/ - (обратно: Парковая улица /Павловск-2/) - Фильтровское шоссе /г. Павловск/ - Садовая улица /г. Павловск/ - Детскосельская улица /г. Павловск/ - Берёзовая улица /г. Павловск/ - улица Мичурина /г. Павловск/ - улица Александра Матросова /Пязелево/ - Павловское шоссе /Динамо/ - Покровская - Коммунар - Пудомяги - Лукаши	50	ПАЗ-3204-02	"также работают нелегальные микроавтобусы ООО ""АТП №1"" на участке от м.Московская до Коммунара<BR>СПб - Экспофорум - 30р.<BR>СПб - Пушкин - 35р.<BR>СПб - Павловск - 40р.<BR>СПб - Коммунар - 45р.<BR>Пушкин - Павловск - 30р.<BR>Пушкин - Лукаши - 35р.<BR>Павловск - Лукаши - 25р.<BR>Коммунар - Лукаши - 20р."	27.06.2016	2	-	-
1040	gtc	К-	631	 	"ХК ""Питеравто"""	инт	станция метро Проспект Ветеранов	Гатчина, Варшавский вокзал	ежедневно	Дачный проспект - проспект Ветеранов - (обратно: улица Танкиста Хрустицкого - бульвар Новаторов) - проспект Маршала Жукова - Лиговский путепровод - Таллинское шоссе /Старо-Паново/ - Красносельское шоссе /Горелово/ - Гореловский путепровод - проспект Ленина /г. Красное Село/ - Гатчинское шоссе /г. Красное Село/ - Виллози - Тайцы - Торфопредприятие - Вайялово - Гатчина	80	ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт""<BR>СПб - Горелово - 40р.<BR>СПб - Красное Село - 46р.<BR>СПб - Виллози - 55р.<BR>СПб - Тайцы - 60р.<BR>СПб - Вайялово - 67р.<BR>по Красному Селу - 25р.<BR>Красное Село - Виллози - 28р.<BR>Красное Село - Тайцы - 35р.<BR>Красное Село - Вайялово - 47р.<BR>Красное Село - Гатчина - 55р.<BR>по Тайцам - 18р.<BR>Тайцы - Гатчина - 35р.<BR>по Гатчине - 25р."	27.06.2016	2	-	-
2201	gtc		1		"ООО ""Феликс"""	расп	ст. Сиверская	Сиверский, ул.Курсанта	-	Заводская ул. - Большой пр. - Кезевская дорога - Пионерский пр. - Огородная ул.	22	-		27.06.2016	2	-	-
2202	gtc		2		"ООО ""Феликс"""	расп	ст. Сиверская	Белогорка	-	Вокзальная ул. - ул.Строителей - Дружносельская ул. - Пролетарский пр. - Белогорское шоссе - (заезд: Заводская ул.) - Белогорка	29	Higer KLQ6118GS		27.06.2016	2	-	-
2203	gtc		3		"ПТ ""Гатчинамаршрутавто"""	расп	"Гатчина, завод ""Ленинец"""	"Гатчина, ТЦ ""ОКей"""	-	ул.Куприна - ул.Воскова - ул.И.Рыбакова - Красноармейский пр. - Липовая аллея - ул.Григорина - пр. 25 Октября - Красносельское шоссе - (обратно: Ленинградское шоссе)		ПАЗ-3204-02		27.06.2016	2	-	-
2204	gtc		4		"ПТ ""Гатчинамаршрутавто"""	инт	Химози	Гатчина, ул.Изотова	-	Новая ул. - ул.Матвеева - Киевская ул. - ул.Григорина - Липовая аллея - Красноармейский пр. - пр. 25 Октября - Рощинская ул.		ПАЗ-32054		27.06.2016	2	-	-
2205	gtc		4	т	"ООО ""Феликс"""	расп	ст. Сиверская	Межно	-	Крамское шоссе - пр.Героев - Межно		ПАЗ-4234		27.06.2016	2	-	-
2206	gtc		7		"ПТ ""Гатчинамаршрутавто"""	расп	Гатчина, Варшавский вокзал	"Гатчина, завод ""Ленинец"""	-	ул.Карла Маркса - ул. 7 Армии - пр. 25 Октября - ул.Григорина - Липовая аллея - Красноармейский пр. - ул.И.Рыбакова - ул.Воскова - Корпиковское шоссе - ул. 120 Гатчинской дивизии - (обратно: ул.Куприна)		ПАЗ-3204-12		27.06.2016	2	-	-
2207	gtc		8		"ПТ ""Гатчинамаршрутавто"""	расп	Гатчина, ул.Изотова	Гатчина, ул.Нестерова	-	Рощинская ул. - пр. 25 Октября - ул.Григорина - ул.Нестерова - (обратно: Красноармейский пр. - Липовая аллея)		ПАЗ-3204-02		27.06.2016	2	-	-
2210	gtc		21		"ПТ ""Гатчинамаршрутавто"""	расп	"Гатчина, магазин ""Фермер"""	"Гатчина, ТРК ""Кубус"""	-	Кооперативная ул. - ул.Старая дорога - ул.Авиатриссы Зверевой - ул.Генерала Кныша - пр. 25 Октяря - ул.Чкалова - ул.Достоевского - ул.Радищева - (обратно: ул.Урицкого - ул.Леонова - ул.Чкалова) - ул.Чехова - ул.Волкова		ПАЗ-32054		27.06.2016	2	-	-
2211	gtc		22		"ПТ ""Гатчинамаршрутавто"""	инт	Гатчина, Варшавский вокзал	Гатчина, ул.Новосёлов	-	ул.Карла Маркса - (обратно: Соборная ул. - ул.Урицкого) - ул. Радищева - пр. 25 Октября - Красноармейский пр. - Липовая аллея - ул.Григорина - Киевская ул. - ул.Красных Военлётов - ул.Слепнёва - ул.Новосёлов 		ПАЗ-3204-12		27.06.2016	2	-	-
2212	gtc		27		"ПТ ""Гатчинамаршрутавто"""	расп	Гатчина, Варшавский вокзал	Гатчина, Ингербургские ворота	-	ул.Карла Маркса - (обратно: Соборная ул. - ул.Урицкого) - ул. Радищева - ул.Хохлова - ул.Коли Подрядчикова - ул.Акад.Константинова - ул.Крупской - Рощинская ул.		ПАЗ-3204-02		27.06.2016	2	-	-
2213	gtc		28		"ПТ ""Гатчинамаршрутавто"""	расп	"Гатчина, завод ""Ленинец"""	"Гатчина, рынок ""Центральный"""	-	ул.Куприна - ул.Воскова - ул.И.Рыбакова - Красноармейский пр. - Липовая аллея - ул.Григорина - пр. 25 Октября - ул.Радищева - ул.Карла Маркса - Соборная ул. - ул.Урицкого - (обратно: ул.Достоевского - ул.Карла Маркса)		ПАЗ-3204-02		27.06.2016	2	-	-
2214	gtc		29		"ПТ ""Гатчинамаршрутавто"""	расп	Гатчина, Варшавский вокзал	Гатчина, ПИЯФ	-	ул.Карла Маркса - ул. Радищева - ул.Чехова - Рощинская ул.		ПАЗ-3204-02		27.06.2016	2	-	-
2216	gtc		107		"ХК ""Питеравто"""	расп	Верево	"ТЦ ""Пилот"""	-	М.Верево - Вайя - Ленинградское шоссе - пр. 25 Октября - Киевская ул. - ул.Красных Военлётов - ул.Авиатриссы Зверевой - ул.Генерала Кныша		ПАЗ-3204-02, ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2217	gtc		120	т	"ООО ""Феликс"""	расп	ст. Сиверская	Дружная Горка	-	Сиверский - Лампово - Орлино - Дружная Горка	44	ПАЗ-4234	по Сиверскому - 22р.<BR>Сиверский - Дружноселье - 22р.<BR>Сиверский - Лампово-1 - 30р.<BR>Сиверский - Лампово-2 - 35р.<BR><BR>Лампово - Дружная Горка - 15р.<BR>Дружноселье - Дружная Горка - 21р.	27.06.2016	2	-	-
2218	gtc		121	т	"ООО ""Феликс"""	расп	ст. Сиверская	Батово	-	Сиверский - Межно - Выра - Рождествено - Батово	44	ПАЗ-4234	по Сиверскому - 22р.<BR>Сиверский - Межно - 22р.<BR>Сиверский - Выра - 30р.<BR>Межно - Выра - 15р.<BR>Межно - Рождествено, центр - 20р.<BR>Межно - Рождествено, кладбище - 25р.<BR>Межно - Батово - 30р.<BR>Выра - Рождествено, центр - 15р.<BR>Выра - Батово - 25р.<BR>Рождествено, центр - Батово - 20р.	27.06.2016	2	-	-
2219	gtc		123		"ООО ""Феликс"""	расп	ст. Вырица	Мины	-	Вырица - Мины		-		27.06.2016	2	-	-
2220	gtc		151		"ООО ""Феликс"""	расп	ст. Сиверская	"Гатчина, ТРК ""Кубус"""	-	Сиверский - Куровицы - Кобрино - Мельница - Суйда - Воскресенское - Пижма - Пригородный - Гатчина	55	ПАЗ-3204-12		27.06.2016	2	в объезд через Б.Колпаны	на время реконструкции путепровода на Вырицком шоссе
2221	gtc	К-	151	д	"ООО ""Феликс"""	расп	Дружная Горка	"Гатчина, ТРК ""Кубус"""	-	Сиверский - Куровицы - Кобрино - Мельница - Суйда - Воскресенское - Пижма - Пригородный - Гатчина		-		27.06.2016	2	в объезд через Б.Колпаны	на время реконструкции путепровода на Вырицком шоссе
2225	gtc		500		"ООО ""Феликс"""	расп	ст. Сиверская	Батово	-	Сиверский - Межно - Выра - Рождествено - Батово		ПАЗ-4234, ЛиАЗ-5256		27.06.2016	2	-	-
2226	gtc		502		"ООО ""Феликс"""	расп	ст. Сиверская	Ляды	-	Сиверский - Межно - Выра - Грязно - Даймище - Чикино - Ляды		-		27.06.2016	2	-	-
2227	gtc		503		"ООО ""Феликс"""	расп	ст. Сиверская	Вырица, пр.Кирова	-	Сиверский - Куровицы - Вырица	73	ПАЗ-4234	"по Сиверскому - 22р.<BR>Сиверский - Весы - 22р.<BR>Сиверский - Куровицы - 29р.<BR>Сиверский - садоводство ""Леноблстрой"" - 36р.<BR>Сиверский - садоводство ""Ухта"" - 44р.<BR>Сиверский - Вырица, кладбище - 51р.<BR>Куровицы - Вырица - 44р.<BR>садоводство ""Леноблстрой"" - Вырица - 36р.<BR>садоводство ""Ухта"" - Вырица - 29р."	27.06.2016	2	-	-
2228	gtc		504		"ООО ""Феликс"""	расп	ст. Сиверская	Каушта	-	Сиверский - Куровицы - Вырица - Мины - Каушта		-		27.06.2016	2	-	-
2229	gtc		505		"ООО ""Феликс"""	расп	ст. Сиверская	Дружная Горка	ежедневно	Сиверский - Лампово - Орлино - Дружная Горка		ЛиАЗ-5256		27.06.2016	2	-	-
2230	gtc		506		"ООО ""Феликс"""	расп	ст. Сиверская	Белогорка	-	Сиверский - Лампово - Орлино - Дружная Горка - Кургино - Лязево - Изора - Белогорка		-		27.06.2016	2	-	-
2231	gtc		506	а	"ООО ""Феликс"""	расп	ст. Сиверская	Изора	-	Сиверский - Лампово - Орлино - Дружная Горка - Кургино - Лязево - Изора		-		27.06.2016	2	-	-
2232	gtc		507		"ООО ""Феликс"""	расп	ст. Сиверская	Симанково	-	Сиверский - Лампово - Орлино - Заозерье - Симанково		-		27.06.2016	2	-	-
2233	gtc		507	а	"ООО ""Феликс"""	расп	ст. Сиверская	Большево	-	Сиверский - Большево		-		27.06.2016	2	-	-
2234	gtc		511		"ООО ""Феликс"""	расп	ст. Сиверская	Лесничество	-	Сиверский - Старосиверская - Новосиверская	29	-	по Сиверскому - 22р.<BR>Сиверский - Новосиверская - 22р.<BR>Ст.Кольцо - Лесничество - 14р.	27.06.2016	2	-	-
2235	gtc		512		"ООО ""Феликс"""	расп	ст. Сиверская	Нестерково	-	Сиверский - Куровицы - Вырица - Мины - Введенское - Борисово - М.Слудицы - Б.Слудицы - Порожек - Савкино - Нестерково		-		27.06.2016	2	-	-
2236	gtc		513		"ООО ""Феликс"""	расп	Гатчина, Варшавский вокзал	Никольское, больница им. Кащенко	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское		ПАЗ-3204-12		27.06.2016	2	-	-
2237	gtc		514		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Большие Колпаны	-	Гатчина - М.Колпаны - Б.Колпаны		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2238	gtc		516		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Прибытково	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское - Меньково - Прибытково		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2239	gtc		516	а	"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Меньково	-	Гатчина - М.Колпаны - Б.Колпаны - Ваккалово - Лядино - Н.Черницы - Ст.Черницы - Никольское - Меньково		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2240	gtc		517		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	ст. Тайцы	-	Гатчина - Вайялово - Торфопредприятие - Тайцы		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2241	gtc		518		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Терволово	-	Гатчина - Сокколово - Б.Рейзино - Мыза-Ивановка - Пудость - Юля-Пурская - Алапурская - Мута-Кюля - Петрово - Терволово		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2242	gtc		519		"ХК ""Питеравто"""	инт	ст. Пудость	Пудость	-	Мыза-Ивановка - Пудость		-	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2243	gtc		521		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Черемыкино	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Реболово - Сяськелево - Вытти - Ондрово - (заезд: Ст.Низковицы) - Жабино - Черемыкино		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2244	gtc		522		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Тайворово	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Реболово - Сяськелево - Тойворово		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2245	gtc		523		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Луйсковицы	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Б.Борницы - Шпаньково - Елизаветино - Алексеевка -  (заезд: Яскелево) - Луйсковицы		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2246	gtc		523	а	"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Яскелево	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Б.Борницы - Шпаньково - Елизаветино - Алексеевка -  Яскелево		ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2247	gtc		524		"ХК ""Питеравто"", ИП Будзинский Ю.В."	расп	Гатчина, Варшавский вокзал	ст. Волосово	-	Гатчина - М.Колпаны - Парицы - Войсковицы - Б.Борницы - Шпаньково - Елизаветино - Смольково - Арбонье - Кикерино - М.Кикерино - Роговицы - Волосово		Yutong ZK6118HGA, КАвЗ-4238, ЛиАЗ-5256	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
2248	gtc		525		"ХК ""Питеравто"""	расп	Гатчина, Варшавский вокзал	Новый Учхоз	-	Гатчина - Корпиково - Черново - Н.Учхоз		ПАЗ-3204-12	"обслуживает ООО ""Транс-Балт"""	27.06.2016	2	-	-
