Code	Type	Pr	Num	Suf	Firm	Rasp	R1	R2	Rez	Mar	St	PS	Prim	DateMake	code_status	Izm	Reason
2917	ksh		254		"ООО ""КиришиАвто"""	расп	Кириши	Городище	-	Кириши - Чёрная речка - Пчева - Городище	77	-	Кириши - Пчева - 44р.	27.06.2016	2	-	-
2918	ksh		254	а	"ООО ""КиришиАвто"""	расп	Кириши	Пчева	-	Кириши - Чёрная речка - Пчева	44	ПАЗ-32053		27.06.2016	2	-	-
2920	ksh		255		"ООО ""КиришиАвто"""	расп	Кириши	Будогощь	-	Кириши - Белая - Пчёвжа - Горчаково - Железная Гора - Березняки - Будогощь	110	ПАЗ-32053	Кириши - Белая - 66р.<BR>Кириши - Пчёвжа - 77р.<BR>Кириши - Горчаково - 88р.<BR>Кириши - Березняки - 99р.	27.06.2016	2	-	-
2921	ksh		255	к	-	расп	Кириши	Будогощь	-	Кириши - Белая - Пчёвжа - Горчаково - Железная Гора - Березняки - Будогощь		-		27.06.2016	2	-	-
2922	ksh		257		"ООО ""КиришиАвто"""	расп	Кириши	Дубняги	-	Кириши - Чёрная речка - Пчева - Витка - (заезд: Иконово - Дуняково) - Новинка - Мотохово - Дубняги	121	ПАЗ-32054	Кириши - Пчева - 44р.<BR>Кириши - дор. на Рысино - 66р.<BR>Кириши - Витка - 88р.<BR>Кириши - Новинка - 99р.<BR>Кириши - Мотохово - 110р.	27.06.2016	2	-	-
2923	ksh		258		"ООО ""КиришиАвто"""	расп	Кириши	Мемино	-	Кириши - Бор - Андреево - Шелогино - Тихорицы - Подсолье - Глажево - Криваши - Мемино	143	-	Кириши - 11 км - 33р.<BR>Кириши - Бор - 44р.<BR>Кириши - Андреево - 55р.<BR>Кириши - Шелогино - 66р.<BR>Кириши - Тихорицы - 77р.<BR>Кириши - Подсолье - 88р.<BR>Кириши - Глажево - 99р.<BR>Кириши - Черенцево - 110р.<BR>Кириши - Криваши - 121р.	27.06.2016	2	-	-
2924	ksh		259		"ООО ""КиришиАвто"""	расп	Кириши	Гороховец	-	Кириши - Бор - Андреево - Шелогино - Тихорицы - Подсолье - Гатика - Наростыня - Оломна - Гороховец	154	-	Кириши - 11 км - 33р.<BR>Кириши - Бор - 44р.<BR>Кириши - Андреево - 55р.<BR>Кириши - Шелогино - 66р.<BR>Кириши - Тихорицы - 77р.<BR>Кириши - Подсолье - 88р.<BR>Кириши - Гатика - 121р.<BR>Кириши - Наростыня - 132р.<BR>Кириши - Оломна - 143р.	27.06.2016	2	-	-
2925	ksh		260		"ООО ""КиришиАвто"""	расп	Кириши	Сады-3	-	Кириши - Сады-3	55	ЛиАЗ-5256, ЛиАЗ-5293		27.06.2016	2	-	-
2927	ksh		741		"ООО ""КиришиАвто"""	расп	Кириши	Волхов	-	Кириши - Бор - Андреево - Шелогино - Тихорицы - Подсолье - Глажево - Черенцово - Теребочево - Помялово - Вындин Остров - Волхов	160	-	Кириши - Андреево - 90р.<BR>Кириши - Черенцево - 110р.<BR>Кириши - Вындин Остров - 120р.	27.06.2016	2	-	-
2928	ksh		241		"ООО ""КиришиАвто"""	расп	Будогощь, автостанция	Крапивно	-	Будогощь - Могилёво - Кровино Сельцо - Новая - Кукуй - Крапивно	0	-	-	27.06.2016	2	-	-
2929	ksh		252	к	"ООО ""КиришиАвто"""	расп	Кириши, пр.Ленина	Сады-2	-	Кириши - Сады-2	0	-	-	27.06.2016	2	-	-
2930	ksh		260	к	"ООО ""КиришиАвто"""	расп	Кириши, пр.Ленина	Сады-3	-	Кириши - Сады-3	0	-	-	27.06.2016	2	-	-
2931	ksh		9		"ООО ""КиришиАвто"""	расп	Кириши, вокзал	Кириши, вокзал	-	пр.Победы - Ленинградская ул. - Волховская наб. - Советская ул. - Молодёжный бул. - ул.Нефтехимиков - ул.Строителей - пр. Героев - разворот у Пушки - пр.Героев - ул.Энергетиков - пр.Победы		ЛиАЗ-5293		01.07.2016	2		
2932	ksh		9	л	"ООО ""КиришиАвто"""	расп	Кириши, вокзал	Кириши, вокзал	-	пр.Победы - пр.Ленина - Советская ул. - Молодёжный бульвар - ул.Нефтехимиков - ул.Строителей - пр. Героев - разворот у Пушки - пр.Героев - ул.Энергетиков - пр.Победы		ЛиАЗ-5256, ЛиАЗ-5293		01.07.2016	2		
3100	ldp		10		ИП Пирожков А.В.	расп	Мясокомбинат	Аэропорт	-	Ленинградское шоссе - пр.Ленина - ул.Урицкого - Республиканская ул. - Республиканский тракт - Железнодороожная ул. - ул.Розы Люксембург - Октябрьский пр. - Лесная ул.		ПАЗ-32053		27.06.2016	2	-	-
3101	ldp		82		ИП Пирожков А.В.	расп	Лодейное Поле	Шамокша	-	Лодейное Поле - Шамокша		-		27.06.2016	2	-	-
3102	ldp		83		ИП Пирожков А.В.	расп	Лодейное Поле	Лодейное Поле	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - (заезд: Имоченицы) - (заезд: Кургино - Яровщина - Мехбаза) - Новинка - Суббоченицы - Алёховщина - Гонгиничи - Заозерье - Чагоницы - Савозеро - Малые Усадищи - Лодейное Поле		-		27.06.2016	2	-	-
3103	ldp		85		ИП Пирожков А.В.	расп	Лодейное Поле	Имоченицы	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - (заезд: Кургино - Яровщина - Мехбаза) Имоченицы		-		27.06.2016	2	-	-
3104	ldp		85	а	ИП Пирожков А.В.	расп	Лодейное Поле	Шархиничи	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - Новинка - Суббоченицы - Шархиничи		ПАЗ-32053		27.06.2016	2	-	-
3105	ldp		85	б	ИП Пирожков А.В.	расп	Лодейное Поле	Янгиничи	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - Новинка - Суббоченицы - Алёховщина - Вязикиничи - Янгиничи		-		27.06.2016	2	-	-
3106	ldp		85	в	ИП Пирожков А.В.	расп	Лодейное Поле	Тервеничи	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - Новинка - Суббоченицы - Алёховщина - Вязикиничи - Янгиничи - Явшиницы - Тервеничи		-		27.06.2016	2	-	-
3107	ldp		86		ИП Пирожков А.В.	расп	Лодейное Поле	Подпорожье	-	Лодейное Поле - Янега - Свирьстрой - Яндеба - Подпорожье		-		27.06.2016	2	-	-
3108	ldp		90		ИП Пирожков А.В.	расп	Лодейное Поле	Печеницы	-	Лодейное Поле - Малые Усадищи - Мальгиничи - Руссконицы - Шапша - Печеницы		-		27.06.2016	2	-	-
3109	ldp		92		ИП Пирожков А.В.	расп	Лодейное Поле	Новинка	-	Лодейное Поле - Малые Усадищи - Савозеро - Чагоницы - Заозерье - Гонгиничи - Алёховщина - Вязикиничи - Янгиничи - Явшиницы - Пирозеро - Усть-Сара - Б.Коковичи - Новинка		-		27.06.2016	2	-	-
3110	ldp		93		ИП Пирожков А.В.	расп	Лодейное Поле	Надпорожье	-	Лодейное Поле - Малые Усадищи - Савозеро - Чагоницы - Заозерье - Гонгиничи - Алёховщина - Гайгово - Кяргино - Мустиничи - Ефремково - Ратигора - Надпорожье		-		27.06.2016	2	-	-
3111	ldp		94		ИП Пирожков А.В.	расп	Лодейное Поле	Рассвет	-	Лодейное Поле - Шамокша - Заостровье - (заезд: Горка) - Шоткуса - Нижняя Шоткуса - Мошкино - Доможирово - Чегла - Рассвет		-		27.06.2016	2	-	-
3112	ldp		95		ИП Пирожков А.В.	расп	Лодейное Поле	Ребовичи	-	Лодейное Поле - Люговичи - Никоновщина - Акулова Гора - Новинка - Суббоченицы - Алёховщина - Вязикиничи - Янгиничи - Явшиницы - Тервеничи - Новое Село - Чидово - Ребовичи		-		27.06.2016	2	-	-
3113	ldp		81	/87	ИП Пирожков А.В.	расп	Лодейное Поле	Свирь-3	-	Лодейное Поле - Янега - (заезд: Тененичи) - Свирьстрой		ПАЗ-32053		27.06.2016	2	-	-
3114	ldp		84	/88	ИП Пирожков А.В.	расп	Лодейное Поле	Вонозеро	-	Лодейное Поле - Малые Усадищи - Савозеро - Чагоницы - Заозерье - Гонгиничи - Алёховщина - Вязикиничи - Янгиничи - Явшиницы - Тервеничи - Ветхое Село - Красный Бор - Тимошино - (заезд: Боровицы - Хмелеозеро) - Вонозеро		-		27.06.2016	2	-	-
3115	ldp		89	/91	ИП Пирожков А.В.	расп	Лодейное Поле	Пога	-	Лодейное Поле - (заезд: Новая Слобода - Свирское - Инема) - Кондуши - Андреевщина - Пога		-		27.06.2016	2	-	-
330	lmn	К-	105	а	"ХК ""Питеравто"""	инт	Иннолово	станция метро Проспект Ветеранов	ежедневно	Иннолово - Рюмки - Аннино - Пески - Аннинское шоссе /Торики/ - Аннинское шоссе /Горелово/ - Красносельское шоссе /Горелово/ - Таллинское шоссе /Старо-Паново/ - Лиговский путепровод - проспект Маршала Жукова - проспект Ветеранов - улица Танкиста Хрустицкого - бульвар Новаторов	55	ПАЗ-3204-02	<BR>СПб - Горелово - 40р.<BR>СПб - Торики - 46р.<BR>СПб - Аннино - 50р.	27.06.2016	2	-	-
760	lmn	К-	401	а	"ООО ""АТП Барс-2"""	инт	Сосновый Бор, проспект Героев	станция метро Автово	ежедневно	проспект Героев /г. Сосновый Бор/ - улица Космонавтов /г. Сосновый Бор/ - Солнечная улица /г. Сосновый Бор/ - улица 50 лет Октября /г. Сосновый Бор/ - Комсомольская улица /г. Сосновый Бор/ - (обратно: улица Петра Великого /г. Сосновый Бор/ - проезд Копорского Полка /г. Сосновый Бор/ - Молодёжная улица /г. Сосновый Бор/ - проспект Героев /г. Сосновый Бор/) - улица Петра Великого /г. Сосновый Бор/ - проспект Александра Невского /г. Сосновый Бор/ - Копорское шоссе /г. Сосновый Бор/ - Новое Калище - Коваши - Лебяжье - Большая Ижора - Краснофлотское шоссе /г. Ломоносов/ - Дворцовый проспект /г. Ломоносов/ - Морская улица /г. Ломоносов/ - Ораниенбаумское шоссе /г. Петергоф/ - Ораниенбаумский спуск /г. Петергоф/ - Санкт-Петербургский проспект /г. Петергоф/ - Санкт-Петербургское шоссе /г. Петергоф/ - Санкт-Петербургское шоссе /пос. Стрельна/ - Санкт-Петербургское шоссе - Петергофское шоссе - проспект Стачек	190	ПАЗ-3204-02	при следовании из СПб право на проезд от пос. Лебяжье и далее имеют только граждане РФ<BR>СПб - Стрельна - 55р.<BR>СПб - Петергоф - 75р.<BR>СПб - Ломоносов - 85р.<BR>СПб - Бронка - 100р.<BR>СПб - Большая Ижора - 105р.<BR>СПб - Лебяжье - 125р.<BR>СПб - Коваши - 155р.<BR><BR>Стрельна - Петергоф - 45р.<BR>Стрельна - Ломоносов - 65р.<BR>Стрельна - Бронка - 85р.<BR>Стрельна - Большая Ижора - 95р.<BR>Стрельна - Лебяжье - 105р.<BR>Стрельна - Коваши - 135р.<BR>Стрельна - Сосновый Бор - 155р.<BR><BR><BR>Петергоф - Ломоносов - 45р.<BR>Петергоф - Бронка - 55р.<BR>Петергоф - Большая Ижора - 65р.<BR>Петергоф - Лебяжье - 95р.<BR>Петергоф - Коваши - 125р.<BR>Петергоф - Сосновый Бор - 135р.<BR><BR>Ломоносов - Бронка - 35р.<BR>Ломоносов - Большая Ижора - 45р.<BR>Ломоносов - Лебяжье - 75р.<BR>Ломоносов - Коваши - 105р.<BR>Ломоносов - Сосновый Бор - 115р.<BR><BR>Бронка - Большая Ижора - 35р.<BR>Бронка - Лебяжье - 55р.<BR>Бронка - Коваши - 90р.<BR>Бронка - Сосновый Бор - 110р.<BR><BR>Большая Ижора - Лебяжье - 45р.<BR>Большая Ижора - Коваши - 85р.<BR>Большая Ижора - Сосновый Бор - 105р.<BR><BR>Лебяжье - Коваши - 65р.<BR>Лебяжье - Сосновый Бор - 95р.<BR><BR>Коваши - Сосновый Бор - 65р.	27.06.2016	2	-	-
